"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logP"
"etnipromid","BL",-0.364072828768693,0.0948018103166331,-0.0620222716047754,-0.411930059749131,-0.157838372676352,-0.424778690363345,-0.350226576636095,-0.309942892780667,0.370908346097075
"fenoprop","BL",-0.545101633521536,0.791604642501535,0.227194378170244,-0.511884916712319,0.508512249058874,-0.442576808981599,-0.350226576636095,-0.587154362886399,0.21200095407183
"fenoxaprop","G",-0.386701429362798,0.407953017117455,0.880939292328075,-0.478566631057923,0.262273987882181,-0.429181682781393,-0.350226576636095,-0.309942892780667,0.187103021680778
"fenoxaprop-P","G",-0.386701429362798,0.407953017117455,0.880939292328075,-0.478566631057923,0.262273987882181,-0.429181682781393,-0.350226576636095,-0.309942892780667,0.187103021680778
"fenoxasulfone","G",-0.431958630551009,0.175241821528197,0.113287127457293,-0.311975202785944,-0.0890225834749657,-0.435575329234866,-0.848199819203203,-0.402346716149244,0.213099392265553
"fenthiaprop","G",-0.386701429362798,0.34141769479491,0.880939292328075,-0.478566631057923,0.171326199973976,-0.434173513702286,-0.350226576636095,-0.402346716149244,0.361754694482717
"fentrazamide","G",-0.386701429362798,0.188963039129185,-0.503741808197905,-0.378611774094735,0.476196991476897,-0.432513369020071,-0.848199819203203,-0.402346716149244,0.0117190567496897
"flazasulfuron","NS",-0.454587231145115,0.188963039129185,-1.25798574883735,-0.445248345403527,0.763376187342112,-0.409955155923979,0.147746665931013,0.0596724006936415,-0.371269726795024
"florasulam","BL",-0.47721583173922,0.442089739134162,-1.02591069017906,-0.545203202366714,0.0668514035386707,-0.42284122174108,-0.350226576636095,-0.21753906941209,-0.352230131437161
"fluazifop-P","G",-0.409330029956904,0.442089739134162,0.880939292328075,-0.445248345403527,0.643883898908784,-0.434173513702286,-0.350226576636095,-0.402346716149244,0.0970310897955009
"fluchloralin","G",-0.47721583173922,0.357425795026033,-1.84318581575647,-0.345293488440339,-0.638998808871145,-0.424208846650914,-0.848199819203203,-0.402346716149244,0.487342794631701
"flufenacet","G",-0.431958630551009,0.325303219748214,0.0183017632764153,-0.445248345403527,0.363577845476289,-0.439237524826754,-0.848199819203203,-0.402346716149244,0.187103021680778
"flufenpyr","BL",-0.431958630551009,0.376497081176766,-0.775289676509198,-0.478566631057923,0.228107844660411,-0.429322244230459,-0.350226576636095,-0.402346716149244,-0.356990030276627
"flumetsulam","BL",-0.47721583173922,0.493919146668017,-0.456374436614301,-0.57852148802111,0.080050915522585,-0.426347660051571,-0.350226576636095,-0.309942892780667,-0.294379053234422
"flumiclorac","BL",-0.386701429362798,0.357425795026033,-1.02591069017906,-0.411930059749131,0.251507215261874,-0.428376303667824,-0.350226576636095,-0.309942892780667,-0.0702976617149526
"flumioxazin","BL",-0.318815627580482,0.279604606797757,-1.5078548994662,-0.411930059749131,0.104140072315682,-0.434830733450623,-0.848199819203203,-0.309942892780667,-0.504180748235494
"flumipropyn","BL",-0.341444228174588,0.263072718516027,-1.02591069017906,-0.411930059749131,-0.487002944855752,-0.442546417316936,-0.848199819203203,-0.494750539517821,0.352234896803785
"fluometuron","BL",-0.522473032927431,0.836541867755593,-0.242720022460745,-0.545203202366714,0.590387033794522,-0.447967530501193,-0.350226576636095,-0.587154362886399,-0.195153469734788
"fluorodifen","BL",-0.454587231145115,0.58857384651328,-0.208635564601644,-0.511884916712319,-0.487002944855752,-0.421933270759274,-0.848199819203203,-0.402346716149244,0.327703110477308
"fluoroglycofen","BL",-0.386701429362798,0.249765585923388,-0.329685514204186,-0.445248345403527,0.125688557748281,-0.415178723287928,-0.350226576636095,-0.21753906941209,0.105818595345284
